FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
12553,Kwale,39.5525699,-4.434690576,290.46,316300,2558.097824,8.86,-0.24,-0.01,0.59,0.03,0.01,2.01,0.1,0.019714567,0.01,0.2,0.1,0.169896112
12554,Kwale,39.55249548,-4.434848715,290.71,316325,2561.066171,9.68,-0.23,-0.01,0.59,0.04,0.02,2.13,0.1,0.027480582,0.02,0.21,0.1,0.169896112
12555,Kwale,39.55242128,-4.435003872,290.98,316350,2563.862936,10.58,-0.28,-0.01,0.59,0.05,0.03,2.31,0.11,0.032563084,0.03,0.23,0.11,0.169896112
12556,Kwale,39.55234928,-4.435150838,291.29,316375,2566.629544,11.55,-0.65,-0.03,0.59,0.05,0.02,2.52,0.12,0.032682566,0.02,0.25,0.12,0.169896112
12557,Kwale,39.55227736,-4.435297688,291.61,316400,2569.463787,12.47,-1.02,-0.04,0.59,0.06,0.02,2.74,0.13,0.039619637,0.02,0.27,0.13,0.169896112
12558,Kwale,39.55220553,-4.435444423,291.92,316425,2572.365746,13.38,-1.39,-0.06,0.59,0.06,0.02,2.97,0.14,0.040635455,0.02,0.3,0.14,0.169896112
12559,Kwale,39.55213145,-4.435594241,292.21,316450,2575.548417,14.37,-1.9,-0.08,0.59,0.06,0.02,3.25,0.15,0.04055156,0.02,0.33,0.15,0.171159447
12560,Kwale,39.55205326,-4.435747632,292.48,316475,2578.784383,15.44,-2.73,-0.11,0.59,0.06,0.02,3.62,0.17,0.040391724,0.02,0.36,0.17,0.171159447
12561,Kwale,39.55197287,-4.435899975,292.74,316500,2581.917759,16.71,-3.8,-0.16,0.59,0.06,0.01,3.96,0.19,0.042210245,0.01,0.4,0.19,0.171159447
12562,Kwale,39.55188873,-4.436057846,292.98,316525,2585.397389,18.05,-5.14,-0.21,0.59,0.05,0.01,4.26,0.2,0.0335135,0.01,0.43,0.2,0.171159447
12563,Kwale,39.55179978,-4.436224835,293.16,316550,2589.107739,20.13,-6.69,-0.28,0.59,0.02,0,4.55,0.22,0.013706947,0,0.45,0.22,0.171159447
12564,Kwale,39.55171348,-4.436392852,293.35,316575,2592.215277,21.65,-8.89,-0.37,0.59,-0.02,0,4.78,0.23,-0.013974605,0,0.48,0.23,0.171159447
12565,Kwale,39.55162917,-4.436566916,293.51,316600,2593.8736,22.43,-10.11,-0.42,0.59,-0.05,0.01,4.86,0.23,-0.034205702,0.01,0.49,0.23,0.171159447
12566,Kwale,39.55154506,-4.436744693,293.65,316625,2594.466548,23.58,-10.69,-0.45,0.59,-0.08,0.01,4.94,0.24,-0.055263553,0.01,0.49,0.24,0.171159447
12567,Kwale,39.55147229,-4.436915133,293.85,316650,2593.427734,23.84,-11.28,-0.47,0.59,-0.12,0.03,5.07,0.24,-0.0810873,0.03,0.51,0.24,0.171159447
12568,Kwale,39.55140315,-4.437087202,294.05,316675,2591.538556,23.33,-10.49,-0.44,0.59,-0.13,0.04,4.99,0.24,-0.092017032,0.04,0.5,0.24,0.171159447
12569,Kwale,39.55133743,-4.437260888,294.25,316700,2588.839497,23.25,-10.43,-0.43,0.59,-0.15,0.05,4.98,0.24,-0.098303374,0.05,0.5,0.24,0.171159447
12570,Kwale,39.55127278,-4.437440516,294.42,316725,2585.414631,22.58,-8.53,-0.36,0.59,-0.14,0.05,4.84,0.23,-0.096181953,0.05,0.48,0.23,0.171159447
12571,Kwale,39.55120806,-4.437618564,294.6,316750,2582.174094,22.53,-6.67,-0.28,0.59,-0.14,0.05,4.74,0.23,-0.092227706,0.05,0.47,0.23,0.171159447
12572,Kwale,39.55114426,-4.437797143,294.79,316775,2578.723584,22.25,-4.49,-0.19,0.59,-0.13,0.04,4.71,0.22,-0.088784654,0.04,0.47,0.22,0.171159447
12573,Kwale,39.55108044,-4.437975821,294.97,316800,2575.294635,21.97,-2.6,-0.11,0.59,-0.12,0.03,4.73,0.22,-0.084375775,0.03,0.47,0.22,0.171159447
12574,Kwale,39.55101856,-4.43815552,295.15,316825,2571.405482,21.2,-0.62,-0.03,0.59,-0.1,0.02,4.74,0.23,-0.070396779,0.02,0.47,0.23,0.171159447
12575,Kwale,39.55095567,-4.438341764,295.3,316850,2567.128917,20.31,1.46,0.06,0.59,-0.08,0.02,4.89,0.23,-0.056204259,0.02,0.49,0.23,0.171159447
12576,Kwale,39.55089255,-4.438529173,295.45,316875,2562.805309,19.86,3.56,0.15,0.59,-0.07,0.01,5.21,0.25,-0.045684766,0.01,0.52,0.25,0.171159447
12577,Kwale,39.55082766,-4.438714656,295.6,316900,2558.074221,19.51,5.64,0.24,0.59,-0.06,0.01,5.58,0.27,-0.040081438,0.01,0.56,0.27,0.171159447
12578,Kwale,39.55076274,-4.43890025,295.75,316925,2553.353561,19.17,7.73,0.32,0.59,-0.05,0,6.02,0.29,-0.034863948,0,0.6,0.29,0.171159447
12579,Kwale,39.55070102,-4.439069403,295.99,316950,2549.600353,18.65,8.73,0.36,0.59,-0.05,0,6.31,0.3,-0.035099845,0,0.63,0.3,0.171159447
12580,Kwale,39.55063521,-4.439236305,296.22,316975,2546.78794,19.43,9.42,0.39,0.59,-0.05,0,6.57,0.31,-0.03428491,0,0.66,0.31,0.171159447
12581,Kwale,39.55056747,-4.439400294,296.46,317000,2543.859841,19.83,9.42,0.39,0.59,-0.04,0,6.46,0.31,-0.027004591,0,0.65,0.31,0.171159447
12582,Kwale,39.55050452,-4.439546249,296.8,317025,2541.821176,19.86,9.43,0.39,0.59,-0.03,0,6.35,0.3,-0.020591767,0,0.64,0.3,0.171159447
12583,Kwale,39.55043918,-4.43969108,297.14,317050,2540.454659,19.58,10.01,0.42,0.59,-0.02,0,6.25,0.3,-0.013611652,0,0.63,0.3,0.171159447
12584,Kwale,39.55037382,-4.439835968,297.47,317075,2539.173317,19.21,10.2,0.43,0.59,-0.01,0,6.07,0.29,-0.00673108,0,0.61,0.29,0.171159447
12585,Kwale,39.55030784,-4.4399806,297.81,317100,2538.126279,18.42,10.09,0.42,0.59,0,0,5.82,0.28,0,0,0.58,0.28,0.171159447
12586,Kwale,39.55024413,-4.440114001,298.2,317125,2537.26825,17.87,9.81,0.41,0.59,0,0,5.64,0.27,0,0,0.56,0.27,0.171159447
12587,Kwale,39.55017674,-4.440257027,298.54,317150,2536.134534,16.78,9.03,0.38,0.59,-0.01,0,5.25,0.25,-0.006898914,0,0.52,0.25,0.171159447
12588,Kwale,39.55010926,-4.440400091,298.88,317175,2535.103352,15.7,8.26,0.34,0.59,-0.01,0,4.85,0.23,-0.006916631,0,0.48,0.23,0.171159447
12589,Kwale,39.55003601,-4.440540091,299.22,317200,2534.193644,15.35,7.99,0.33,0.59,0,0,4.6,0.22,0,0,0.46,0.22,0.171159447
12590,Kwale,39.54996205,-4.440681544,299.55,317225,2533.324863,15,7.69,0.32,0.59,0,0,4.38,0.21,0,0,0.44,0.21,0.171159447
12591,Kwale,39.54988709,-4.440824335,299.88,317250,2532.423277,14.18,6.77,0.28,0.59,-0.01,0,4.06,0.19,-0.006601941,0,0.41,0.19,0.171159447
12592,Kwale,39.54980961,-4.440957756,300.23,317275,2531.527065,14.04,6.33,0.26,0.59,-0.01,0,3.97,0.19,-0.006747087,0,0.4,0.19,0.171159447
12593,Kwale,39.54973107,-4.441090608,300.59,317300,2530.994017,13.68,5.83,0.24,0.59,-0.01,0,3.81,0.18,-0.00670883,0,0.38,0.18,0.171159447
12594,Kwale,39.54965253,-4.441223489,300.95,317325,2530.559894,13.3,5.33,0.22,0.59,-0.01,0,3.66,0.17,-0.006866141,0,0.37,0.17,0.171159447
12595,Kwale,39.54957397,-4.441356397,301.31,317350,2530.224803,12.91,4.83,0.2,0.59,-0.02,0,3.52,0.17,-0.01372788,0,0.35,0.17,0.171159447
12596,Kwale,39.54949565,-4.441484403,301.69,317375,2529.544554,12.87,4.38,0.18,0.59,-0.02,0,3.4,0.16,-0.014003343,0,0.34,0.16,0.171159447
12597,Kwale,39.54942538,-4.441597658,302.15,317400,2529.119173,12.86,4.13,0.17,0.59,-0.02,0,3.34,0.16,-0.013361838,0,0.33,0.16,0.171159447
12598,Kwale,39.5493551,-4.441710933,302.62,317425,2528.859764,12.84,3.98,0.17,0.59,-0.02,0,3.3,0.16,-0.013339096,0,0.33,0.16,0.171159447
12599,Kwale,39.54927692,-4.441838337,303,317450,2528.534092,12.82,3.75,0.16,0.59,-0.02,0,3.26,0.15,-0.013315941,0,0.33,0.15,0.171159447
12600,Kwale,39.54919858,-4.441966047,303.38,317475,2528.31615,12.79,3.52,0.15,0.59,-0.02,0,3.22,0.15,-0.013215686,0,0.32,0.15,0.17250253
12601,Kwale,39.54911979,-4.442091389,303.77,317500,2527.897494,13.01,3.3,0.14,0.59,-0.02,0,3.22,0.15,-0.013791209,0,0.32,0.15,0.17250253
12602,Kwale,39.54903631,-4.442222348,304.13,317525,2527.160742,13.35,3.03,0.13,0.59,-0.03,0,3.24,0.15,-0.021134327,0,0.32,0.15,0.17250253
