Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Lamu & Kiwayu,Black Marlin,Istiompax indica,2001/2002,2002,2,0,2,7,0.3,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2002/2003,2003,31,3426,10,7,4.4,,
Watamu,Black Marlin,Istiompax indica,2002/2003,2003,16,2750,12,7,2.3,,
Shimoni,Black Marlin,Istiompax indica,2002/2003,2003,7,696,7,7,1.0,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2002/2003,2003,6,552,5,7,0.9,,
Kilifi,Black Marlin,Istiompax indica,2002/2003,2003,1,79,0,7,0.1,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2002/2003,2003,0,0,0,7,0.0,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2003/2004,2004,43,4329.5,27,7,6.1,,
Watamu,Black Marlin,Istiompax indica,2003/2004,2004,52,6180.5,39,7,7.4,,
Shimoni,Black Marlin,Istiompax indica,2003/2004,2004,9,351,6,7,1.3,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2003/2004,2004,9,973,3,7,1.3,,
Kilifi,Black Marlin,Istiompax indica,2003/2004,2004,3,283,2,7,0.4,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2003/2004,2004,6,0,6,7,0.9,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2004/2005,2005,28,3169,15,7,4.0,,
Watamu,Black Marlin,Istiompax indica,2004/2005,2005,37,4804,20,7,5.3,,
Shimoni,Black Marlin,Istiompax indica,2004/2005,2005,4,401,4,7,0.6,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2004/2005,2005,5,279,2,7,0.7,,
Kilifi,Black Marlin,Istiompax indica,2004/2005,2005,1,0,1,7,0.1,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2004/2005,2005,5,250,5,7,0.7,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2005/2006,2006,132,291,106,7,18.9,,
Watamu,Black Marlin,Istiompax indica,2005/2006,2006,79,4328,64,7,11.3,,
Shimoni,Black Marlin,Istiompax indica,2005/2006,2006,5,409,5,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2005/2006,2006,6,155,6,7,0.9,,
Kilifi,Black Marlin,Istiompax indica,2005/2006,2006,0,0,0,7,0.0,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2005/2006,2006,6,0,6,7,0.9,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2006/2007,2007,126,10440.5,93,7,18.0,,
Watamu,Black Marlin,Istiompax indica,2006/2007,2007,189,13457.5,157,7,27.0,,
Shimoni,Black Marlin,Istiompax indica,2006/2007,2007,7,644,7,7,1.0,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2006/2007,2007,3,207,1,7,0.4,,
Kilifi,Black Marlin,Istiompax indica,2006/2007,2007,2,0,0,7,0.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2006/2007,2007,5,0,5,7,0.7,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2007/2008,2008,92,8332.5,63,7,13.1,,
Watamu,Black Marlin,Istiompax indica,2007/2008,2008,62,5745,57,7,8.9,,
Shimoni,Black Marlin,Istiompax indica,2007/2008,2008,3,270,3,7,0.4,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2007/2008,2008,3,0,3,7,0.4,,
Kilifi,Black Marlin,Istiompax indica,2007/2008,2008,12,0,12,7,1.7,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2007/2008,2008,11,0,11,7,1.6,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2008/2009,2009,96,8248,69,7,13.7,,
Watamu,Black Marlin,Istiompax indica,2008/2009,2009,217,19372,188,7,31.0,,
Shimoni,Black Marlin,Istiompax indica,2008/2009,2009,4,381,4,7,0.6,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2008/2009,2009,13,1050,9,7,1.9,,
Kilifi,Black Marlin,Istiompax indica,2008/2009,2009,0,0,0,7,0.0,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2008/2009,2009,12,960,7,7,1.7,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2009/2010,2010,144,7548,121,7,20.6,,
Watamu,Black Marlin,Istiompax indica,2009/2010,2010,217,19372,188,7,31.0,,
Shimoni,Black Marlin,Istiompax indica,2009/2010,2010,3,327,3,7,0.4,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2009/2010,2010,8,830,0,7,1.1,,
Kilifi,Black Marlin,Istiompax indica,2009/2010,2010,6,500,6,7,0.9,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2009/2010,2010,8,0,4,7,1.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2010/2011,2011,144,7548,121,7,20.6,,
Watamu,Black Marlin,Istiompax indica,2010/2011,2011,147,8276,117,7,21.0,,
Shimoni,Black Marlin,Istiompax indica,2010/2011,2011,3,327,3,7,0.4,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2010/2011,2011,8,830,7,7,1.1,,
Kilifi,Black Marlin,Istiompax indica,2010/2011,2011,6,500,6,7,0.9,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2010/2011,2011,8,0,4,7,1.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2011/2012,2012,56,5212,47,7,8.0,,
Watamu,Black Marlin,Istiompax indica,2011/2012,2012,136,21649,116,7,19.4,,
Shimoni,Black Marlin,Istiompax indica,2011/2012,2012,5,566,5,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2011/2012,2012,7,1021,6,7,1.0,,
Kilifi,Black Marlin,Istiompax indica,2011/2012,2012,2,200,2,7,0.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2011/2012,2012,5,49,5,7,0.7,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2012/2013,2013,30,2638,25,7,4.3,,
Watamu,Black Marlin,Istiompax indica,2012/2013,2013,85,5123,0,7,12.1,,
Shimoni,Black Marlin,Istiompax indica,2012/2013,2013,5,458,5,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2012/2013,2013,40,0,6,7,5.7,,
Kilifi,Black Marlin,Istiompax indica,2012/2013,2013,4,70,3,7,0.6,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2012/2013,2013,0,0,0,7,0.0,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2013/2014,2014,21,1918,15,7,3.0,,
Watamu,Black Marlin,Istiompax indica,2013/2014,2014,60,3404,55,7,8.6,,
Shimoni,Black Marlin,Istiompax indica,2013/2014,2014,5,602,5,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2013/2014,2014,1,0,1,7,0.1,,
Kilifi,Black Marlin,Istiompax indica,2013/2014,2014,1,100,1,7,0.1,,
